Boleracea_gene,NCBI_gene
Bo5g155160,106292898
Bo1g129740,106292900
Bo5g084000,106292901
Bo5g051870,106292902
Bo5g088280,106292903
Bo5g085380,106292904
Bo5g034830,106292905
Bo5g092910,106292906
Bo5g030960,106292908
Bo5g148610,106292909
Bo5g131990,106292911
Bo1g017510,106292912
Bo5g130540,106292913
Bo5g108610,106292914
Bo5g062890,106292915
Bo5g139570,106292917
Bo5g007210,106292919
Bo5g016870,106292922
Bo5g004120,106292924
Bo5g123710,106292925
Bo5g004210,106292926
Bo5g155300,106292928
Bo5g008810,106292930
Bo5g132020,106292931
Bo5g098030,106292932
Bo5g145060,106292933
Bo5g122850,106292934
Bo5g001370,106292935
Bo5g027600,106292937
Bo1g036930,106292938
Bo5g008290,106292940
Bo5g069450,106292942
Bo5g007190,106292943
Bo5g008650,106292944
Bo5g092950,106292945
Bo5g067060,106292947
Bo5g005560,106292948
Bo5g101260,106292949
Bo5g065630,106292951
Bo5g117380,106292952
Bo1g116020,106292953
Bo5g117390,106292954
Bo5g139600,106292955
Bo5g139590,106292956
Bo5g021380,106292957
Bo5g058580,106292959
Bo5g133120,106292960
Bo5g148370,106292961
Bo1g102190,106292962
Bo5g116730,106292964
Bo1g116310,106292965
Bo5g148240,106292966
Bo5g100960,106292967
Bo5g150240,106292968
Bo5g041110,106292969
Bo5g148130,106292970
Bo5g076410,106292971
Bo5g022090,106292973
Bo5g003400,106292974
Bo5g138130,106292975
Bo5g092920,106292978
Bo5g148470,106292979
Bo5g131620,106292980
Bo1g057200,106292981
Bo1g071120,106292982
Bo5g010030,106292983
Bo5g154020,106292986
Bo5g002650,106292988
Bo5g149940,106292990
Bo5g126440,106292992
Bo5g034880,106292993
Bo5g034450,106292994
Bo5g127710,106292996
Bo5g128740,106292997
Bo5g005220,106293003
Bo5g004220,106293004
Bo7g003790,106293005
Bo5g126940,106293006
Bo5g127490,106293007
Bo1g005240,106293010
Bo5g126230,106293011
Bo5g126220,106293012
Bo5g042870,106293013
Bo5g016750,106293014
Bo5g019410,106293015
Bo5g023420,106293017
Bo5g064450,106293018
Bo5g103590,106293019
Bo1g006240,106293021
Bo5g146970,106293023
Bo5g004440,106293024
Bo5g083750,106293025
Bo5g021060,106293027
Bo5g025570,106293028
Bo5g145530,106293030
Bo5g145540,106293031
Bo5g078750,106293032
Bo5g027650,106293033
Bo5g041560,106293034
Bo5g016620,106293035
Bo5g005530,106293039
Bo5g005540,106293040
Bo1g154720,106293041
Bo5g002750,106293044
Bo5g132500,106293045
Bo5g003860,106293046
Bo5g146780,106293048
Bo5g065690,106293049
Bo1g011640,106293050
Bo5g025360,106293051
Bo5g004150,106293052
Bo5g144760,106293053
Bo5g020390,106293054
Bo5g123310,106293055
Bo1g043040,106293057
Bo5g034310,106293058
Bo5g054580,106293059
Bo5g126820,106293060
Bo5g038690,106293061
Bo5g108590,106293062
Bo5g135140,106293063
Bo5g133240,106293064
Bo5g098740,106293065
Bo5g053500,106293066
Bo5g134800,106293067
Bo5g039330,106293070
Bo5g156420,106293071
Bo1g055050,106293072
Bo5g152780,106293074
Bo1g128450,106293076
Bo5g051940,106293077
Bo5g049330,106293078
Bo5g045240,106293079
Bo5g145080,106293080
Bo5g038820,106293081
Bo5g042850,106293082
Bo5g030670,106293084
Bo5g003660,106293085
Bo5g128930,106293089
Bo5g131870,106293092
Bo5g156410,106293095
Bo5g019730,106293096
Bo1g151760,106293097
Bo5g012120,106293098
Bo5g132130,106293099
Bo5g136580,106293100
Bo5g148330,106293101
Bo5g148350,106293102
Bo5g148360,106293103
Bo5g148340,106293105
Bo1g051300,106293106
Bo5g121370,106293107
Bo5g017570,106293109
Bo5g087010,106293110
Bo5g146990,106293114
Bo5g146620,106293115
Bo5g030330,106293116
Bo5g004690,106293117
Bo5g086790,106293118
Bo5g130360,106293120
Bo5g027760,106293121
Bo1g105130,106293123
Bo5g129090,106293125
Bo5g008010,106293128
Bo5g048920,106293129
Bo1g138270,106293133
Bo5g021210,106293134
Bo5g003760,106293135
Bo5g049370,106293136
Bo5g141370,106293137
Bo5g136160,106293138
Bo5g039510,106293139
Bo5g139400,106293140
Bo5g037470,106293141
Bo1g055190,106293143
Bo5g065560,106293144
Bo5g027350,106293146
Bo5g063280,106293147
Bo5g051900,106293148
Bo5g085400,106293149
Bo5g101160,106293150
Bo5g050670,106293151
Bo5g137090,106293153
Bo5g117120,106293154
Bo5g059830,106293155
Bo5g030530,106293157
Bo5g043390,106293159
Bo5g041340,106293161
Bo5g041330,106293162
Bo5g041320,106293163
Bo5g041310,106293164
Bo1g005420,106293166
Bo5g116820,106293169
Bo5g041130,106293171
Bo5g017120,106293172
Bo5g021620,106293175
Bo5g020550,106293178
Bo5g001290,106293180
Bo5g043720,106293181
Bo5g045270,106293182
Bo5g043530,106293183
Bo5g002600,106293184
Bo5g025950,106293190
Bo5g015350,106293194
Bo5g126380,106293195
Bo5g002630,106293197
Bo5g058640,106293198
Bo5g117090,106293201
Bo5g065840,106293203
Bo5g090540,106293204
Bo5g009290,106293206
Bo5g148070,106293210
Bo5g004590,106293211
Bo5g004580,106293212
Bo5g004570,106293213
Bo5g004600,106293214
Bo5g004610,106293215
Bo5g041510,106293216
Bo5g016470,106293217
Bo1g128360,106293218
Bo5g146570,106293221
Bo5g045280,106293222
Bo5g039230,106293223
Bo5g065640,106293224
Bo5g122750,106293228
Bo5g025400,106293229
Bo5g029180,106293230
Bo5g004050,106293232
Bo5g019830,106293233
Bo5g065580,106293234
Bo1g007710,106293235
Bo5g003000,106293236
Bo5g027380,106293237
Bo5g148560,106293238
Bo5g003720,106293239
Bo5g124840,106293241
Bo5g002460,106293242
Bo5g062950,106293243
Bo5g002390,106293244
Bo5g001080,106293245
Bo5g027180,106293247
Bo5g141450,106293249
Bo1g040150,106293250
Bo5g015320,106293251
Bo5g039350,106293252
Bo5g130510,106293253
Bo5g139410,106293254
Bo5g105120,106293255
Bo5g136740,106293257
Bo5g130530,106293258
Bo1g147890,106293259
Bo5g123120,106293260
Bo5g132990,106293262
Bo5g127580,106293263
Bo5g020100,106293264
Bo5g065800,106293265
Bo5g019300,106293267
Bo5g145480,106293268
Bo1g030730,106293269
Bo1g010550,106293270
Bo5g114070,106293272
Bo5g019920,106293274
Bo5g006860,106293275
Bo5g037430,106293276
Bo5g016700,106293277
