Supplementary Table 2: Kale vs TO1000 DEGs,,,,,,,,,,
Gene,Kale_1,Kale_2,Kale_3,TO1000_1,TO1000_2,TO1000_3,Kale_Mean,TO1000_Mean,KvT_log2FC,KvT_padj
Bo1g017300,751.4804992,1298.974544,994.6924527,336.5831083,285.014607,347.7761467,323.1246206,1015.049165,1.651049468,1.63E-13
Bo1g017420,8.972901483,5.790376866,19.17787505,50.44398005,71.06663429,61.46741197,60.99267544,11.3137178,-2.492718793,4.80E-07
Bo1g017470,166.7464192,219.0692581,173.8794005,0,0.748069835,0,0.249356612,186.5650259,9.332980364,6.23E-13
Bo1g017680,32.90063877,56.93870585,56.25510015,126.9796739,79.29540247,88.15720928,98.14409522,48.69814826,-1.024670917,0.007022158
Bo1g017730,17.19806118,11.58075373,10.22820003,51.31370384,45.63225991,32.35126946,43.09907774,13.00233831,-1.698235708,0.001016982
Bo1g017920,42.62128204,35.70732401,35.7987001,65.22928455,86.02803098,81.68695538,77.6480903,38.04243538,-1.023600952,0.006870801
Bo1g017930,34.39612235,30.88200995,21.73492506,207.8639868,148.8658971,162.565129,173.0983376,29.00435245,-2.55190604,5.70E-16
Bo1g017970,2.990967161,0,12.78525003,32.17978038,34.41121239,26.6897973,31.09359669,5.258739065,-2.68695274,0.000791908
Bo1g019090,1164.981709,943.8314292,1259.347128,60.88066558,43.38805041,50.9532494,51.74065513,1122.720089,4.443967408,1.76E-96
Bo1g019510,53.08966711,21.23138184,49.86247513,122.6310549,118.1950339,122.1260422,120.9840437,41.39450803,-1.546590584,0.000186662
Bo1g019540,37.38708951,30.88200995,23.01345006,6.957790352,5.984558677,6.470253892,6.47086764,30.42751651,2.250251665,0.000124652
Bo1g019560,14.9548358,32.81213557,39.63427511,20.00364726,10.47297768,5.661472155,12.04603237,29.13374883,1.255815604,0.021689434
Bo1g019640,42.62128204,36.67238682,20.45640006,1.739447588,2.992279339,1.617563473,2.116430133,33.25002297,3.970765731,2.14E-06
Bo1g019660,78.51288797,73.34477364,97.16790026,44.35591349,24.68630454,18.60197994,29.21473266,83.00852062,1.508850098,0.000329927
Bo1g019890,20.18902834,47.28807774,26.84902507,92.19072216,72.56277396,72.79035628,79.18128413,31.44204372,-1.337535003,0.001897348
Bo1g019900,20.18902834,15.44100498,11.50672503,43.4861897,46.38032975,29.92492425,39.93048123,15.71225278,-1.319300454,0.015470634
Bo1g019910,2.243225371,7.720502488,7.671150021,0,0,0,0,5.878292626,5.293795996,0.019495436
Bo1g021430,39.63031488,48.25314055,53.69805014,14.7853045,7.480698346,18.60197994,13.62266093,47.19383519,1.79349694,0.001476909
Bo1g021620,69.53998649,59.83389428,74.1544502,208.7337105,129.4160814,157.7124386,165.2874102,67.84277699,-1.285597137,1.32E-05
Bo1g021650,0,0.965062811,1.278525003,7.827514145,13.46525702,9.705380838,10.33271734,0.747862605,-3.95517186,0.0204073
Bo1g021700,148.8006163,183.3619341,122.7384003,0,2.244209504,0,0.748069835,151.6336502,7.564600765,1.65E-15
Bo1g021750,1.49548358,3.860251244,5.114100014,18.26419967,48.62453925,40.43908682,35.77594192,3.489944946,-3.44155814,1.94E-05
Bo1g021970,16.45031938,12.54581654,29.40607508,0.869723794,0,0,0.289907931,19.46740367,6.061411549,0.000172637
Bo1g022000,183.9444804,93.61109267,145.7518504,33.04950417,40.39577107,53.37959461,42.27495662,141.1024745,1.740263241,1.70E-06
Bo1g022260,8.972901483,11.58075373,19.17787505,1.739447588,0,0,0.579815863,13.24384342,4.582306573,0.004135558
Bo1g022290,35.14386414,62.72908272,79.26855021,32.17978038,25.43437438,25.07223383,27.56212953,59.04716569,1.085549187,0.025100204
Bo1g022300,125.6206208,90.71590424,112.5102003,236.564872,214.6960425,216.7535054,222.6714733,109.6155751,-1.018869361,3.55E-05
Bo1g022350,30.6574134,51.14832898,43.46985012,133.0677405,122.6834529,133.4489865,129.7333933,41.75853083,-1.648575606,1.06E-07
Bo1g022380,17.94580297,9.65062811,7.671150021,0,2.992279339,0,0.997426446,11.75586037,3.510055767,0.000533945
Bo1g022440,3.738708951,2.895188433,11.50672503,67.83845593,184.0251793,331.600512,194.4880491,6.046874138,-5.053850003,2.30E-07
Bo1g022510,40.37805667,40.53263806,48.58395013,106.9760267,148.8658971,164.9914742,140.2777993,43.16488162,-1.710640427,2.56E-08
Bo1g023780,51.59418353,23.16150746,42.19132511,3.478895176,3.740349173,2.426345209,3.215196519,38.9823387,3.600929422,7.31E-07
Bo1g023870,8.972901483,1.930125622,7.671150021,0,0.748069835,0,0.249356612,6.191392375,4.424693744,0.01262809
Bo1g023970,57.57611785,53.07845461,31.96312509,12.17613312,17.2056062,25.07223383,18.15132438,47.53923251,1.400298054,0.002787664
Bo1g024030,2302.296972,2259.212041,2673.395782,1141.947341,1122.852822,1235.009712,1166.603292,2411.634932,1.047246183,2.97E-09
Bo1g024170,10.46838506,14.47594217,15.34230004,1.739447588,2.992279339,4.852690419,3.194805782,13.42887576,2.052591193,0.023357578
Bo1g024350,15.70257759,10.61569092,29.40607508,0.869723794,0,0,0.289907931,18.5747812,5.992670622,0.000250265
Bo1g024370,0,0,0,45.22563728,27.67858388,29.11614251,34.00678789,0,-7.567284858,1.85E-07
Bo1g025470,58.32385964,57.90376866,71.59740019,2.609171382,2.992279339,0.808781736,2.136744152,62.60834283,4.863314182,6.20E-12
Bo1g025570,175.7193207,159.2353638,132.9666004,74.79624628,80.79154214,72.79035628,76.12604823,155.9737616,1.040435755,6.98E-05
Bo1g025580,25.42322087,25.09163309,23.01345006,6.088066558,6.732628512,8.896599101,7.239098057,24.50943467,1.761107595,0.007286911
Bo1g025800,39908.47483,39533.79805,36867.547,8730.287444,13543.80436,12965.58002,11746.55727,38769.93996,1.7226634,1.44E-22
Bo1g025880,72.53095365,75.27489926,77.99002521,311.3611182,270.8012801,322.7039129,301.6221037,75.26529271,-2.005683932,3.53E-21
Bo1g026920,21.68451192,36.67238682,34.52017509,113.933817,112.958545,90.58355448,105.8253055,30.95902461,-1.793477693,2.25E-07
Bo1g026930,0,0,1.278525003,22.61281864,30.67086322,38.01274161,30.43214116,0.426175001,-6.448127665,1.65E-05
Bo1g026960,46.35999099,38.60251244,37.0772251,93.06044595,66.57821528,87.34842754,82.32902959,40.67990951,-1.006322967,0.007937341
Bo1g028320,0,1.930125622,0,6.957790352,20.19788553,11.32294431,12.82620673,0.643375207,-4.329505569,0.004430929
Bo1g028480,9.720643273,12.54581654,8.949675024,28.7008852,28.42665372,25.88101557,27.66951816,10.40537828,-1.40649311,0.043214848
Bo1g028540,29.90967161,38.60251244,51.14100014,10.43668553,2.244209504,4.043908682,5.574934571,39.88439473,2.854913183,2.16E-05
Bo1g030660,5.981934322,7.720502488,7.671150021,0,0.748069835,0,0.249356612,7.124528944,4.618533293,0.0255448
Bo1g030730,12.71161043,15.44100498,5.114100014,0.869723794,0,1.617563473,0.829095756,11.08890514,3.783349613,0.009112815
Bo1g031790,168.9896446,170.8161176,233.9700756,44.35591349,39.64770124,31.54248772,38.51536748,191.2586126,2.30671914,9.66E-20
Bo1g031800,2884.040085,1899.243612,2091.666906,1000.182363,923.8662458,957.597576,960.5487283,2291.650201,1.255372817,3.72E-11
Bo1g031820,150.2960998,133.1786679,103.5605253,46.09536108,58.3494471,67.12888413,57.19123077,129.0117643,1.179345688,9.30E-05
Bo1g031850,19.44128655,29.91694714,34.52017509,11.30640932,5.236488842,8.896599101,8.479832422,27.95946959,1.718610553,0.013269209
Bo1g031880,11.96386864,8.685565299,21.73492506,0,0.748069835,0.808781736,0.518950524,14.12811967,4.709126237,0.001528424
Bo1g032000,12.71161043,8.685565299,5.114100014,0,0,0,0,8.837091916,5.907837449,0.002258735
Bo1g032030,1.49548358,0,0,13.04585691,5.984558677,12.94050778,10.65697446,0.498494527,-4.155519412,0.019069348
Bo1g033050,0,0,2.557050007,4.34861897,11.22104752,10.51416257,8.694609688,0.852350002,-3.640787102,0.039644977
