Supplementary Table 4: Cabbage vs TO1000 DEGs,,,,,,,,,
Gene,Cabbage_1,Cabbage_2,TO1000_1,TO1000_2,TO1000_3,Cabbage_Mean,TO1000_Mean,CvT_log2FC,CvT_padj
Bo1g026930,0,0,22.61281864,30.67086322,38.01274161,0,0.426175001,-6.960285097,0.000142722
Bo1g027150,169.3114106,160.7122507,86.97237939,69.57049462,70.36401107,165.0118307,47.86030716,1.124622435,0.000792963
Bo1g027180,0,1.795667606,35.65867555,50.12067892,43.67421377,0.897833803,35.99971777,-5.157975821,5.29E-05
Bo1g028380,27.56232266,37.70901972,91.32099836,56.85330743,84.11330059,32.63567119,111.3387798,-1.20534229,0.006988569
Bo1g028480,0,0.897833803,28.7008852,28.42665372,25.88101557,0.448916901,10.40537828,-5.441109175,0.001182103
Bo1g028490,0,0,30.44033279,26.93051405,31.54248772,0,19.62837273,-6.920356952,7.70E-05
Bo1g028580,19.68737333,21.54801127,53.05315143,65.83014545,55.80593982,20.6176923,44.21919804,-1.486741039,0.004395586
Bo1g031790,437.0596878,397.7403747,44.35591349,39.64770124,31.54248772,417.4000313,191.2586126,3.436965701,1.76E-37
Bo1g031800,2354.60985,1889.940155,1000.182363,923.8662458,957.597576,2122.275002,2291.650201,1.141974097,1.55E-07
Bo1g031820,165.3739359,236.1302902,46.09536108,58.3494471,67.12888413,200.7521131,129.0117643,1.824161835,1.12E-08
Bo1g031840,0,0.897833803,19.13392347,12.71718719,25.88101557,0.448916901,9.006035871,-4.919436808,0.005617363
Bo1g031880,7.87494933,5.387002818,0,0.748069835,0.808781736,6.630976074,14.12811967,3.593796966,0.037581349
Bo1g032020,0,0,17.39447588,20.94595537,23.45467036,0,26.01374774,-6.397586905,0.000351557
Bo1g032030,0,0,13.04585691,5.984558677,12.94050778,0,0.498494527,-5.442928348,0.014273287
Bo1g033040,11.812424,6.284836621,24.35226623,30.67086322,27.49857904,9.048630308,21.45389014,-1.707129577,0.028399871
Bo1g033150,25.59358532,17.95667606,4.34861897,8.228768181,8.896599101,21.77513069,29.88088655,1.561835151,0.039644312
Bo1g033170,86.62444263,82.60070987,32.17978038,16.45753636,16.17563473,84.61257625,79.80761215,1.976962745,3.91E-06
Bo1g033250,0,0,36.52839935,27.67858388,14.55807126,0,8.025256011,-6.74492343,0.000258931
Bo1g033260,0,0,40.00729452,30.67086322,23.45467036,0,0.426175001,-7.002345326,0.000123623
Bo1g034350,0,0,24.35226623,29.92279339,30.73370599,0,0.498494527,-6.857115883,0.000193395
Bo1g034370,0,0,13.04585691,23.93823471,29.11614251,0,7.542357719,-6.495641682,0.000515036
Bo1g034430,13.78116133,16.16100845,0.869723794,1.496139669,2.426345209,14.97108489,13.53324234,3.231767905,0.003347003
Bo1g034480,0,0,6.088066558,15.70946653,4.852690419,0,0,-5.186574911,0.031789346
Bo1g034570,515.8091811,356.4400198,2176.048932,1538.77965,1535.067736,436.1246004,1092.795173,-2.014705311,1.80E-16
Bo1g034580,11.812424,5.387002818,100.0182363,275.2896991,192.4900533,8.599713407,110.6534993,-4.488897591,0.008770512
Bo1g034640,25.59358532,22.44584507,60.88066558,58.3494471,59.8498485,24.0197152,36.65119757,-1.331151748,0.007895432
Bo1g034660,0,0,4.34861897,14.96139669,12.13172605,0,0.321687604,-5.425155262,0.016076682
Bo1g034690,25.59358532,35.01551831,0,0,0,30.30455182,20.48072273,7.691625945,1.27E-07
Bo1g034700,62.99959464,71.82670423,3.478895176,4.488419008,4.043908682,67.41314944,35.50158568,4.074412239,7.49E-12
Bo1g034710,15.74989866,21.54801127,0.869723794,0.748069835,0,18.64895497,9.729714386,5.134284182,0.000584206
