Supplementary Table 4: Kale vs Cabbage DEGs,,,,,,,,,
Gene,Kale_1,Kale_2,Kale_3,Cabbage_1,Cabbage_2,Kale_Mean,Cabbage_Mean,KvC_log2FC,KvC_padj
Bo1g037090,19.44128655,20.26631903,15.34230004,1.968737333,1.795667606,1.53661427,1.882202469,3.30773231,0.01917915
Bo1g037170,10.46838506,3.860251244,5.114100014,39.37474665,15.26317465,19.04136219,27.31896065,-1.973541083,0.020474034
Bo1g037260,24.67547908,18.33619341,21.73492506,59.06211998,91.5790479,19.24442567,75.32058394,-1.819519793,0.000320216
Bo1g037290,0.74774179,0,0,21.65611066,12.56967324,1.556851571,17.11289195,-5.597329568,0.002665694
Bo1g037330,92.71998199,66.58933396,44.74837512,43.31222132,13.46750704,97.66439698,28.38986418,1.385779337,0.016330787
Bo1g037340,222.8270535,336.806921,364.379626,120.0929773,130.1859014,285.9349459,125.1394394,1.288240551,1.37E-05
Bo1g037390,42.62128204,55.00858023,39.63427511,157.4989866,172.3840902,59.97702619,164.9415384,-1.850600382,3.34E-08
Bo1g037430,97.95417452,79.1351505,147.0303754,49.21843331,56.56352958,20.0588725,52.89098145,1.011904514,0.038306435
Bo1g037800,2.990967161,5.790376866,2.557050007,53.15590798,64.64403381,95.0503225,58.8999709,-3.965869359,9.26E-11
Bo1g037810,3.738708951,12.54581654,5.114100014,29.53105999,30.5263493,50.6680213,30.02870464,-2.089813797,0.001587585
Bo1g037830,151.7915834,185.2920597,193.0572755,403.5911532,374.3966958,267.5991696,388.9939245,-1.141384725,1.97E-06
Bo1g039080,23.1799955,28.95188433,17.89935005,3.937474665,0.897833803,19.74344576,2.417654234,3.586508066,0.002523221
Bo1g039210,33.64838056,26.0566959,24.29197507,102.3743413,46.68735775,73.64411919,74.53084952,-1.352480791,0.005704873
Bo1g039240,721.5708276,823.1985778,898.8030774,340.5915585,418.3905522,503.3517127,379.4910554,1.090219354,1.35E-07
Bo1g039260,29.16192982,26.0566959,19.17787505,3.937474665,3.591335212,1.078375649,3.764404938,2.741718164,0.015759084
